Access,Start Time (UTCG),Stop Time (UTCG),Duration (sec),,,,,MEAN ACCESS TIME,,585.5729263
223,03:09.3,12:14.8,545.527,,,,,,,
224,09:38.4,14:31.4,292.974,,,,,,,
225,42:42.4,52:41.8,599.385,,,,,,,
226,16:34.0,28:09.5,695.505,,,,,,,
227,50:29.8,01:51.5,681.705,,,,,,,
228,24:13.6,34:20.0,606.438,,,,,,,
229,57:25.5,06:20.3,534.755,,,,,,,
230,29:49.4,38:47.5,538.135,,,,,,,
231,01:49.8,12:02.6,612.82,,,,,,,
232,34:22.4,45:47.8,685.448,,,,,,,
233,08:11.1,19:43.9,692.78,,,,,,,
234,43:48.1,53:34.4,586.296,,,,,,,
235,22:18.8,26:26.9,248.029,,,,,,,
236,51:43.3,54:02.4,139.149,,,,,,,
237,24:01.4,33:22.9,561.554,,,,,,,
238,57:49.4,09:16.2,686.72,,,,,,,
239,31:45.8,43:16.7,690.982,,,,,,,
240,05:33.3,15:56.9,623.643,,,,,,,
241,38:53.4,47:58.3,544.869,,,,,,,
242,11:26.7,20:16.7,530.04,,,,,,,
243,43:27.5,53:23.1,595.576,,,,,,,
244,15:49.5,27:04.0,674.532,,,,,,,
245,49:20.4,00:59.2,698.803,,,,,,,
246,24:33.0,34:52.4,619.48,,,,,,,
247,02:14.5,08:10.1,355.571,,,,,,,
248,05:22.2,13:57.5,515.278,,,,,,,
249,39:05.1,50:18.3,673.238,,,,,,,
250,13:01.3,24:38.7,697.367,,,,,,,
251,46:51.9,57:32.2,640.299,,,,,,,
252,20:19.3,29:37.0,557.727,,,,,,,
253,53:02.5,01:48.0,525.492,,,,,,,
254,25:06.1,34:44.9,578.825,,,,,,,
255,57:19.4,08:20.8,661.363,,,,,,,
256,30:33.7,42:14.4,700.755,,,,,,,
257,05:23.4,16:09.5,646.067,,,,,,,
258,42:27.5,49:41.0,433.515,,,,,,,
259,46:45.9,54:24.4,458.565,,,,,,,
260,20:21.2,31:15.8,654.62,,,,,,,
261,54:16.7,05:57.2,700.487,,,,,,,
262,28:09.6,39:05.5,655.847,,,,,,,
263,01:43.4,11:16.1,572.703,,,,,,,
264,34:36.5,43:21.3,524.761,,,,,,,
265,06:45.1,16:08.3,563.226,,,,,,,
266,38:51.8,49:38.2,646.391,,,,,,,
267,11:50.8,23:29.8,698.959,,,,,,,
268,46:19.0,57:25.8,666.76,,,,,,,
269,22:51.1,31:06.2,495.026,,,,,,,
270,28:14.2,34:41.9,387.732,,,,,,,
271,01:37.9,12:08.3,630.353,,,,,,,
272,35:32.0,47:12.0,700.008,,,,,,,
273,09:26.6,20:36.4,669.76,,,,,,,
274,43:05.8,52:54.9,589.103,,,,,,,
275,16:08.6,24:56.5,527.876,,,,,,,
276,48:24.0,57:33.5,549.49,,,,,,,
277,20:26.4,30:56.5,630.097,,,,,,,
278,53:11.5,04:45.3,693.78,,,,,,,
279,27:19.5,38:41.6,682.152,,,,,,,
280,03:22.9,12:27.9,544.979,,,,,,,
281,09:51.3,14:45.6,294.26,,,,,,,
282,42:55.6,52:55.4,599.78,,,,,,,
283,16:47.2,28:22.8,695.58,,,,,,,
284,50:43.0,02:04.6,681.582,,,,,,,
285,24:26.7,34:33.0,606.242,,,,,,,
286,57:38.6,06:33.2,534.667,,,,,,,
287,30:02.3,39:00.6,538.263,,,,,,,
288,02:02.7,12:15.8,613.033,,,,,,,
289,34:35.5,46:01.0,685.565,,,,,,,
290,08:24.4,19:57.1,692.68,,,,,,,
291,44:01.7,53:47.5,585.848,,,,,,,
292,22:33.2,26:39.6,246.392,,,,,,,
293,51:55.4,54:17.4,141.912,,,,,,,
294,24:14.5,33:36.6,562.038,,,,,,,
295,58:02.6,09:29.5,686.847,,,,,,,
296,31:59.0,43:29.9,690.89,,,,,,,
297,05:46.4,16:09.9,623.453,,,,,,,
298,39:06.5,48:11.2,544.744,,,,,,,
299,11:39.6,20:29.7,530.13,,,,,,,
300,43:40.4,53:36.2,595.789,,,,,,,
301,16:02.6,27:17.2,674.68,,,,,,,
302,49:33.6,01:12.4,698.754,,,,,,,
303,24:46.5,35:05.6,619.118,,,,,,,
304,02:28.6,08:23.1,354.481,,,,,,,
305,05:35.4,14:11.2,515.868,,,,,,,
306,39:18.3,50:31.7,673.423,,,,,,,
307,13:14.6,24:51.9,697.311,,,,,,,
308,47:05.1,57:45.2,640.114,,,,,,,
309,20:32.4,29:50.0,557.573,,,,,,,
310,53:15.5,02:01.0,525.538,,,,,,,
311,25:19.0,34:58.0,579.03,,,,,,,
312,57:32.5,08:34.0,661.536,,,,,,,
313,30:46.9,42:27.7,700.754,,,,,,,
314,05:36.9,16:22.7,645.78,,,,,,,
315,42:41.4,49:54.1,432.677,,,,,,,
316,46:59.0,54:38.3,459.292,,,,,,,
317,20:34.4,31:29.3,654.864,,,,,,,
318,54:29.9,06:10.4,700.471,,,,,,,
319,28:22.8,39:18.5,655.677,,,,,,,
320,01:56.5,11:29.0,572.526,,,,,,,
321,34:49.5,43:34.3,524.761,,,,,,,
322,06:58.0,16:21.4,563.413,,,,,,,
323,39:04.8,49:51.4,646.584,,,,,,,
324,12:04.0,23:43.0,699.002,,,,,,,
325,46:32.5,57:39.0,666.541,,,,,,,
326,23:04.9,31:19.3,494.352,,,,,,,
327,28:27.2,34:55.9,388.655,,,,,,,
328,01:51.1,12:21.8,630.669,,,,,,,
329,35:45.2,47:25.2,700.034,,,,,,,
330,09:39.8,20:49.4,669.61,,,,,,,
331,43:18.9,53:07.8,588.912,,,,,,,
332,16:21.6,25:09.4,527.831,,,,,,,
333,48:36.9,57:46.6,549.652,,,,,,,
334,20:39.4,31:09.7,630.303,,,,,,,
335,53:24.6,04:58.5,693.862,,,,,,,
336,27:32.8,38:54.8,681.994,,,,,,,
337,03:36.6,12:41.1,544.43,,,,,,,
338,10:04.2,14:59.7,295.538,,,,,,,
339,43:08.8,53:08.9,600.173,,,,,,,
340,17:00.5,28:36.1,695.655,,,,,,,
341,50:56.2,02:17.7,681.459,,,,,,,
342,24:39.9,34:45.9,606.045,,,,,,,
343,57:51.6,06:46.2,534.579,,,,,,,
344,30:15.3,39:13.7,538.392,,,,,,,
345,02:15.7,12:28.9,613.246,,,,,,,
346,34:48.6,46:14.2,685.681,,,,,,,
347,08:37.7,20:10.3,692.579,,,,,,,
348,44:15.3,54:00.7,585.399,,,,,,,
349,22:47.5,26:52.3,244.745,,,,,,,
350,52:07.6,54:32.3,144.625,,,,,,,
351,24:27.7,33:50.2,562.521,,,,,,,
352,58:15.9,09:42.8,686.974,,,,,,,
353,32:12.2,43:43.0,690.798,,,,,,,
354,05:59.6,16:22.9,623.257,,,,,,,
355,39:19.5,48:24.2,544.619,,,,,,,
356,11:52.6,20:42.8,530.219,,,,,,,
357,43:53.3,53:49.3,596.001,,,,,,,
358,16:15.6,27:30.4,674.827,,,,,,,
359,49:46.9,01:25.6,698.705,,,,,,,
360,25:00.0,35:18.8,618.755,,,,,,,
361,02:42.6,08:36.0,353.389,,,,,,,
362,05:48.5,14:24.9,516.459,,,,,,,
363,39:31.5,50:45.1,673.607,,,,,,,
364,13:27.8,25:05.0,697.254,,,,,,,
365,47:18.3,57:58.2,639.927,,,,,,,
366,20:45.5,30:02.9,557.417,,,,,,,
367,53:28.4,02:14.0,525.583,,,,,,,
368,25:31.9,35:11.2,579.233,,,,,,,
369,57:45.5,08:47.2,661.707,,,,,,,
370,31:00.1,42:40.9,700.753,,,,,,,
371,05:50.4,16:35.9,645.493,,,,,,,
372,42:55.3,50:07.1,431.841,,,,,,,
373,47:12.1,54:52.1,460.021,,,,,,,
374,20:47.6,31:42.7,655.111,,,,,,,
375,54:43.1,06:23.6,700.454,,,,,,,
376,28:36.0,39:31.5,655.505,,,,,,,
377,02:09.6,11:41.9,572.348,,,,,,,
378,35:02.5,43:47.3,524.759,,,,,,,
379,07:10.9,16:34.5,563.599,,,,,,,
380,39:17.8,50:04.6,646.775,,,,,,,
381,12:17.1,23:56.2,699.044,,,,,,,
382,46:45.9,57:52.2,666.322,,,,,,,
383,23:18.7,31:32.4,493.68,,,,,,,
384,28:40.2,35:09.8,389.58,,,,,,,
385,02:04.3,12:35.3,630.986,,,,,,,
386,35:58.4,47:38.5,700.061,,,,,,,
387,09:53.0,21:02.5,669.46,,,,,,,
388,43:32.0,53:20.8,588.719,,,,,,,
389,16:34.6,25:22.4,527.783,,,,,,,
390,48:49.8,57:59.7,549.812,,,,,,,
391,20:52.3,31:22.8,630.508,,,,,,,
392,53:37.7,05:11.7,693.943,,,,,,,
393,27:46.2,39:08.0,681.836,,,,,,,
394,03:50.3,12:54.2,543.882,,,,,,,
395,10:17.1,15:13.9,296.818,,,,,,,
396,43:22.0,53:22.5,600.568,,,,,,,
397,17:13.7,28:49.4,695.73,,,,,,,
398,51:09.4,02:30.8,681.334,,,,,,,
399,24:53.0,34:58.9,605.846,,,,,,,
400,58:04.7,06:59.1,534.489,,,,,,,
401,30:28.2,39:26.7,538.519,,,,,,,
402,02:28.6,12:42.1,613.458,,,,,,,
403,35:01.7,46:27.5,685.797,,,,,,,
404,08:51.0,20:23.5,692.478,,,,,,,
405,44:28.9,54:13.8,584.951,,,,,,,
406,23:01.9,27:05.0,243.095,,,,,,,
407,52:19.9,54:47.2,147.303,,,,,,,
408,24:40.9,34:03.9,563.006,,,,,,,
409,58:29.1,09:56.2,687.101,,,,,,,
410,32:25.4,43:56.1,690.708,,,,,,,
411,06:12.8,16:35.8,623.059,,,,,,,
412,39:32.6,48:37.1,544.492,,,,,,,
413,12:05.5,20:55.8,530.306,,,,,,,
414,44:06.3,54:02.5,596.212,,,,,,,
415,16:28.7,27:43.6,674.972,,,,,,,
416,50:00.2,01:38.8,698.656,,,,,,,
417,25:13.6,35:32.0,618.393,,,,,,,
418,02:56.7,08:49.0,352.3,,,,,,,
419,06:01.6,14:38.7,517.055,,,,,,,
420,39:44.7,50:58.5,673.787,,,,,,,
421,13:41.0,25:18.2,697.19,,,,,,,
422,47:31.4,58:11.2,639.739,,,,,,,
423,20:58.6,30:15.8,557.26,,,,,,,
424,53:41.4,02:27.0,525.632,,,,,,,
425,25:44.8,35:24.3,579.431,,,,,,,
426,57:58.5,09:00.4,661.882,,,,,,,
427,31:13.3,42:54.1,700.751,,,,,,,
428,06:03.9,16:49.1,645.206,,,,,,,
429,43:09.2,50:20.2,431.004,,,,,,,
430,47:25.2,55:05.9,460.749,,,,,,,
431,21:00.8,31:56.2,655.358,,,,,,,
432,54:56.4,06:36.8,700.436,,,,,,,
433,28:49.2,39:44.5,655.333,,,,,,,
434,02:22.7,11:54.9,572.169,,,,,,,
435,35:15.5,44:00.3,524.757,,,,,,,
436,07:23.8,16:47.6,563.784,,,,,,,
437,39:30.8,50:17.8,646.966,,,,,,,
438,12:30.3,24:09.4,699.086,,,,,,,
439,46:59.3,58:05.4,666.103,,,,,,,
440,23:32.5,31:45.5,493.007,,,,,,,
441,28:53.3,35:23.8,390.502,,,,,,,
442,02:17.5,12:48.8,631.301,,,,,,,
443,36:11.6,47:51.7,700.087,,,,,,,
444,10:06.2,21:15.5,669.309,,,,,,,
445,43:45.2,53:33.7,588.526,,,,,,,
446,16:47.6,25:35.4,527.736,,,,,,,
447,49:02.8,58:12.7,549.972,,,,,,,
448,21:05.3,31:36.0,630.713,,,,,,,
449,53:50.9,05:24.9,694.024,,,,,,,
450,27:59.6,39:21.2,681.677,,,,,,,
451,04:04.0,13:07.4,543.332,,,,,,,
452,10:30.0,15:28.1,298.09,,,,,,,
453,43:35.1,53:36.1,600.961,,,,,,,
454,17:26.9,29:02.7,695.804,,,,,,,
455,51:22.6,02:43.8,681.21,,,,,,,
456,25:06.2,35:11.8,605.649,,,,,,,
457,58:17.7,07:12.1,534.4,,,,,,,
458,30:41.1,39:39.8,538.647,,,,,,,
459,02:41.6,12:55.2,613.669,,,,,,,
460,35:14.7,46:40.7,685.913,,,,,,,
461,09:04.4,20:36.7,692.377,,,,,,,
462,44:42.5,54:27.0,584.502,,,,,,,
463,23:16.3,27:17.7,241.43,,,,,,,
464,52:32.1,55:02.0,149.924,,,,,,,
465,24:54.0,34:17.5,563.488,,,,,,,
466,58:42.3,10:09.5,687.227,,,,,,,
467,32:38.6,44:09.2,690.615,,,,,,,
468,06:25.9,16:48.8,622.863,,,,,,,
469,39:45.7,48:50.0,544.367,,,,,,,
470,12:18.5,21:08.9,530.395,,,,,,,
471,44:19.2,54:15.6,596.424,,,,,,,
472,16:41.7,27:56.8,675.118,,,,,,,
473,50:13.4,01:52.0,698.606,,,,,,,
474,25:27.1,35:45.2,618.029,,,,,,,
475,03:10.7,09:01.9,351.202,,,,,,,
476,06:14.8,14:52.4,517.643,,,,,,,
477,39:57.9,51:11.9,673.97,,,,,,,
478,13:54.2,25:31.3,697.133,,,,,,,
479,47:44.6,58:24.2,639.552,,,,,,,
480,21:11.7,30:28.8,557.105,,,,,,,
481,53:54.4,02:40.0,525.678,,,,,,,
482,25:57.8,35:37.4,579.635,,,,,,,
483,58:11.5,09:13.6,662.053,,,,,,,
484,31:26.5,43:07.3,700.748,,,,,,,
485,06:17.3,17:02.3,644.917,,,,,,,
486,43:23.1,50:33.2,430.163,,,,,,,
487,47:38.3,55:19.7,461.47,,,,,,,
488,21:14.0,32:09.6,655.603,,,,,,,
489,55:09.6,06:50.0,700.418,,,,,,,
490,29:02.4,39:57.5,655.161,,,,,,,
491,02:35.8,12:07.8,571.991,,,,,,,
492,35:28.5,44:13.3,524.757,,,,,,,
493,07:36.8,17:00.7,563.971,,,,,,,
494,39:43.8,50:31.0,647.158,,,,,,,
495,12:43.5,24:22.6,699.127,,,,,,,
496,47:12.7,58:18.6,665.882,,,,,,,
497,23:46.3,31:58.6,492.331,,,,,,,
498,29:06.3,35:37.7,391.419,,,,,,,
499,02:30.7,13:02.3,631.616,,,,,,,
500,36:24.8,48:04.9,700.112,,,,,,,
501,10:19.4,21:28.5,669.158,,,,,,,
502,43:58.3,53:46.6,588.334,,,,,,,
503,17:00.7,25:48.4,527.691,,,,,,,
504,49:15.7,58:25.8,550.133,,,,,,,
505,21:18.3,31:49.2,630.918,,,,,,,
506,54:04.0,05:38.1,694.104,,,,,,,
507,28:12.9,39:34.4,681.52,,,,,,,
508,04:17.7,13:20.5,542.781,,,,,,,
509,10:42.9,15:42.2,299.355,,,,,,,
510,43:48.3,53:49.7,601.353,,,,,,,
511,17:40.1,29:16.0,695.878,,,,,,,
512,51:35.8,02:56.9,681.085,,,,,,,
513,25:19.3,35:24.8,605.451,,,,,,,
514,58:30.7,07:25.1,534.312,,,,,,,
515,30:54.1,39:52.9,538.775,,,,,,,
516,02:54.5,13:08.4,613.881,,,,,,,
517,35:27.8,46:53.9,686.028,,,,,,,
518,09:17.7,20:49.9,692.274,,,,,,,
519,44:56.1,54:40.2,584.056,,,,,,,
520,23:30.6,27:30.4,239.755,,,,,,,
521,52:44.3,55:16.9,152.506,,,,,,,
522,25:07.2,34:31.2,563.97,,,,,,,
523,58:55.5,10:22.8,687.353,,,,,,,
524,32:51.8,44:22.3,690.521,,,,,,,
525,06:39.1,17:01.8,622.665,,,,,,,
526,39:58.7,49:03.0,544.241,,,,,,,
527,12:31.4,21:21.9,530.483,,,,,,,
528,44:32.1,54:28.8,596.634,,,,,,,
529,16:54.8,28:10.0,675.264,,,,,,,
530,50:26.7,02:05.2,698.555,,,,,,,
531,25:40.7,35:58.3,617.665,,,,,,,
532,03:24.8,09:14.9,350.103,,,,,,,
533,06:27.9,15:06.1,518.228,,,,,,,
534,40:11.1,51:25.3,674.158,,,,,,,
535,14:07.4,25:44.5,697.081,,,,,,,
536,47:57.8,58:37.1,639.363,,,,,,,
537,21:24.8,30:41.7,556.948,,,,,,,
538,54:07.3,02:53.1,525.716,,,,,,,
539,26:10.7,35:50.5,579.839,,,,,,,
540,58:24.5,09:26.8,662.22,,,,,,,
541,31:39.8,43:20.5,700.745,,,,,,,
542,06:30.8,17:15.4,644.629,,,,,,,
543,43:37.0,50:46.3,429.324,,,,,,,
544,47:51.4,55:33.6,462.198,,,,,,,
545,21:27.2,32:23.1,655.849,,,,,,,
546,55:22.8,07:03.2,700.4,,,,,,,
547,29:15.5,40:10.5,654.988,,,,,,,
548,02:48.9,12:20.7,571.811,,,,,,,
549,35:41.5,44:26.3,524.754,,,,,,,
550,07:49.7,17:13.9,564.154,,,,,,,
